"collectDate","plotID","adultCount","nymphCount","larvaCount","totalCount","totalSampledArea","targetTaxaPresent","domainID","siteID","nlcdClass","elevation","lat","lon","geodeticDatum"
2017-07-17,"BART_019",0,0,0,0,157,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2017-07-17,"BART_029",0,0,0,0,140,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2017-07-17,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2017-07-17,"BART_010",0,0,0,0,159,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2017-07-17,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2017-07-19,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2017-07-31,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2017-07-31,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2017-07-31,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2017-07-31,"BART_029",0,0,0,0,145,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2017-07-31,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2017-08-28,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2017-08-28,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2017-08-28,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2017-08-28,"BART_029",0,0,0,0,140,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2017-08-29,"BART_011",0,0,0,0,160,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2017-08-29,"BART_019",0,0,0,0,150,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2017-10-11,"BART_019",0,0,0,0,154,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2018-05-01,"BART_011",0,0,0,0,147,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2018-05-01,"BART_029",0,0,0,0,132,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2018-05-01,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2018-05-01,"BART_019",0,0,0,0,157,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2018-05-02,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2018-05-02,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2018-06-11,"BART_011",0,0,0,0,140,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2018-06-11,"BART_029",1,0,0,1,140,"Y","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2018-06-11,"BART_019",0,0,0,0,158,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2018-06-12,"BART_002",0,0,0,0,160,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2018-06-12,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2018-06-12,"BART_010",0,0,0,0,160,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2018-09-05,"BART_002",0,0,0,0,161,"N","D01","BART","deciduousForest",502.6,44.035231,-71.274674,"WGS84"
2018-09-05,"BART_015",0,0,0,0,160,"N","D01","BART","mixedForest",455,44.042149,-71.271603,"WGS84"
2018-09-05,"BART_010",0,0,0,0,164,"N","D01","BART","deciduousForest",413,44.0511,-71.267766,"WGS84"
2018-09-05,"BART_011",0,0,0,0,164,"N","D01","BART","mixedForest",399.5,44.048783,-71.295353,"WGS84"
2018-09-05,"BART_029",0,0,0,0,160,"N","D01","BART","evergreenForest",291.7,44.058948,-71.289336,"WGS84"
2018-09-05,"BART_019",0,0,0,0,159,"N","D01","BART","mixedForest",231.8,44.06935,-71.288001,"WGS84"
2015-04-23,"BLAN_004",0,0,0,0,160,"N","D02","BLAN","pastureHay",123.7,39.088416,-77.961331,"WGS84"
2015-04-23,"BLAN_008",0,0,0,0,160,"N","D02","BLAN","pastureHay",159.6,39.08387,-77.96632,"WGS84"
2015-04-23,"BLAN_012",0,0,0,0,170,"N","D02","BLAN","deciduousForest",135.1,39.08272,-77.959589,"WGS84"
2015-04-23,"BLAN_015",1,0,0,1,160,"Y","D02","BLAN","deciduousForest",125.9,39.088728,-77.955494,"WGS84"
2015-04-23,"BLAN_005",0,0,0,0,165,"N","D02","BLAN","deciduousForest",169.1,39.086223,-77.972729,"WGS84"
2015-04-23,"BLAN_002",0,0,0,0,160,"N","D02","BLAN","pastureHay",145.6,39.091474,-77.982149,"WGS84"
2015-05-11,"BLAN_008",0,0,0,0,160,"N","D02","BLAN","pastureHay",159.6,39.08387,-77.96632,"WGS84"
2015-05-11,"BLAN_012",0,0,0,0,154,"N","D02","BLAN","deciduousForest",135.1,39.08272,-77.959589,"WGS84"
2015-05-11,"BLAN_015",1,0,0,1,166,"Y","D02","BLAN","deciduousForest",125.9,39.088728,-77.955494,"WGS84"
2015-05-11,"BLAN_004",0,0,0,0,160,"N","D02","BLAN","pastureHay",123.7,39.088416,-77.961331,"WGS84"
