"collectDate","plotID","domainID","siteID","nlcdClass","elevation","lat","lon","geodeticDatum","totalTraps","total","BLBR","BLCA","BLHY","BLSP","CHHI","CRPA","CRSP","DIVI","GLSA","GLVO","MIOC","MIPE","MIPI","MRSP","MUER","MUFR","MUMU","MUNI","MYGA","NAIN","NEFL","OCNU","ORPA","OTHE","PEGO","PELE","PEMA","PEME","PEPO","PESP","RARA","REHU","REME","ROSP","SCCA","SIHI","SOCI","SOFU","SOLO","SPTR","SRSP","SUSP","SYFL","TAHU","TAST","ZAHU"
2015-06-17,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",101,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-06-18,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-06-18,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-18,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2015-06-19,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0
2015-06-19,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-19,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2015-06-20,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-20,"BART_084","D01","BART","evergreenForest",416.1,44.048501,-71.297965,"WGS84",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,36,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
2015-07-16,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-16,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,20,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-07-17,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2015-07-17,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-07-17,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-07-18,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,44,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-18,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,38,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0
2015-07-19,"BART_001","D01","BART","mixedForest",463.7,44.046877,-71.305115,"WGS84",100,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,"BART_007","D01","BART","mixedForest",382.7,44.051112,-71.298377,"WGS84",100,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-19,"BART_084","D01","BART","evergreenForest",416.1,44.048501,-71.297965,"WGS84",106,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2015-09-18,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",200,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
2015-09-18,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
2015-09-19,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
2015-09-19,"BART_015","D01","BART","mixedForest",422.8,44.042898,-71.275059,"WGS84",100,48,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-19,"BART_062","D01","BART","deciduousForest",447.2,44.05735,-71.308646,"WGS84",100,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-20,"BART_012","D01","BART","deciduousForest",579.9,44.047478,-71.315451,"WGS84",100,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
